Channel_Used,Month,Conversion_Rate,ROI,Acquisition_Cost,Campaign_ID
Email,1,0.08,4.997,35524145.0,2839
Email,2,0.081,5.046,32603765.0,2572
Email,3,0.079,5.012,35382434.0,2837
Email,4,0.081,4.995,34624631.0,2770
Email,5,0.08,4.98,36174309.0,2919
Email,6,0.08,4.944,34904575.0,2772
Email,7,0.08,4.988,35182575.0,2807
Email,8,0.08,5.01,36337537.0,2883
Email,9,0.081,5.037,34254034.0,2723
Email,10,0.08,5.019,34911519.0,2786
Email,11,0.08,4.974,35125453.0,2807
Email,12,0.08,4.961,35849127.0,2884
Facebook,1,0.08,5.057,35398673.0,2837
Facebook,2,0.08,5.017,30578878.0,2436
Facebook,3,0.081,4.944,35470051.0,2826
Facebook,4,0.081,4.999,32895919.0,2646
Facebook,5,0.08,5.051,35442069.0,2821
Facebook,6,0.081,5.049,32842912.0,2641
Facebook,7,0.079,4.965,34567255.0,2775
Facebook,8,0.078,5.023,35855187.0,2853
Facebook,9,0.08,5.087,34291176.0,2728
Facebook,10,0.08,5.05,34871381.0,2788
Facebook,11,0.08,4.977,33066894.0,2662
Facebook,12,0.081,5.004,35314863.0,2806
Google Ads,1,0.08,4.981,34740005.0,2758
Google Ads,2,0.08,4.988,32123496.0,2582
Google Ads,3,0.08,4.974,35427363.0,2862
Google Ads,4,0.081,4.977,34882783.0,2805
Google Ads,5,0.08,5.011,35296937.0,2831
Google Ads,6,0.081,4.972,34369342.0,2721
Google Ads,7,0.08,4.986,35278506.0,2840
Google Ads,8,0.079,5.037,35464197.0,2812
Google Ads,9,0.08,5.054,35484640.0,2796
Google Ads,10,0.08,5.015,35559760.0,2840
Google Ads,11,0.081,4.992,34285665.0,2722
Google Ads,12,0.08,5.047,35999620.0,2869
Instagram,1,0.08,4.972,35584646.0,2881
Instagram,2,0.079,5.01,32813600.0,2651
Instagram,3,0.081,4.944,35412121.0,2817
Instagram,4,0.08,4.986,34584683.0,2773
Instagram,5,0.081,5.064,35522167.0,2856
Instagram,6,0.079,5.004,33776467.0,2722
Instagram,7,0.081,4.946,35727981.0,2863
Instagram,8,0.08,4.918,35041400.0,2778
Instagram,9,0.079,5.013,34413585.0,2745
Instagram,10,0.08,4.978,35778764.0,2856
Instagram,11,0.08,5.025,33727653.0,2694
Instagram,12,0.08,5.007,34741783.0,2756
Website,1,0.08,5.044,35242241.0,2820
Website,2,0.082,4.998,31362067.0,2522
Website,3,0.079,5.046,35130816.0,2814
Website,4,0.081,5.083,33921835.0,2713
Website,5,0.078,5.0,34492305.0,2763
Website,6,0.081,4.971,34941808.0,2827
Website,7,0.081,4.987,35785234.0,2828
Website,8,0.081,4.994,36477270.0,2916
Website,9,0.08,5.011,33781552.0,2712
Website,10,0.079,5.024,35730623.0,2853
Website,11,0.081,5.013,34812628.0,2789
Website,12,0.08,4.999,34915121.0,2803
Youtube,1,0.08,5.036,35649116.0,2853
Youtube,2,0.08,4.973,31983014.0,2581
Youtube,3,0.08,4.98,35069818.0,2832
Youtube,4,0.08,4.928,34542471.0,2733
Youtube,5,0.079,5.007,34735628.0,2798
Youtube,6,0.079,4.974,34681606.0,2757
Youtube,7,0.079,5.025,35697952.0,2875
Youtube,8,0.08,5.002,34369863.0,2746
Youtube,9,0.081,4.972,34048913.0,2736
Youtube,10,0.08,5.014,35857861.0,2865
Youtube,11,0.08,5.014,34486445.0,2766
Youtube,12,0.08,4.994,35655895.0,2850
