Channel_Used,Quarter,Conversion_Rate,ROI,Acquisition_Cost,Campaign_ID
Email,1,0.08,5.018,103510344.0,8248
Email,2,0.081,4.973,105703515.0,8461
Email,3,0.08,5.011,105774146.0,8413
Email,4,0.08,4.984,105886099.0,8477
Facebook,1,0.08,5.006,101447602.0,8099
Facebook,2,0.08,5.033,101180900.0,8108
Facebook,3,0.079,5.025,104713618.0,8356
Facebook,4,0.08,5.011,103253138.0,8256
Google Ads,1,0.08,4.981,102290864.0,8202
Google Ads,2,0.08,4.987,104549062.0,8357
Google Ads,3,0.08,5.026,106227343.0,8448
Google Ads,4,0.08,5.019,105845045.0,8431
Instagram,1,0.08,4.975,103810367.0,8349
Instagram,2,0.08,5.019,103883317.0,8351
Instagram,3,0.08,4.959,105182966.0,8386
Instagram,4,0.08,5.003,104248200.0,8306
Website,1,0.08,5.03,101735124.0,8156
Website,2,0.08,5.018,103355948.0,8303
Website,3,0.081,4.997,106044056.0,8456
Website,4,0.08,5.012,105458372.0,8445
Youtube,1,0.08,4.997,102701948.0,8266
Youtube,2,0.079,4.97,103959705.0,8288
Youtube,3,0.08,5.0,104116728.0,8357
Youtube,4,0.08,5.007,106000201.0,8481
